table_catalog;table_schema;table_name;column_name;ordinal_position;column_default;is_nullable;data_type;character_maximum_length;character_octet_length;numeric_precision;numeric_precision_radix;numeric_scale;datetime_precision;character_set_catalog;character_set_schema;character_set_name;collation_catalog;collation_schema;collation_name;domain_catalog;domain_schema;domain_name
XpoMaster;Asset;Hash;ExpireAt;5;;YES;datetime2;;;;;;7;;;;;;;;;
XpoMaster;edi;OrderRequirementRequest;Id;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;edi;OrderRequirementRequest;OrderRequestId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;edi;OrderRequirementRequest;SpecialServicesCode;3;;NO;varchar;300;300;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;edi;OrderRequirementRequest;CreatedDate;4;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;edi;OrderRequirementRequest;CreatedBy;5;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;RuleObjectType;RuleObjectTypeId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;RuleObjectType;Code;2;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;RuleObjectType;Name;3;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;RuleObjectType;Description;4;;NO;varchar;256;256;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;RuleObjectType;RuleTypeId;5;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;RuleObjectType;IsActive;6;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;dbo;RuleObjectType;SortOrder;7;((0));NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;RuleObjectType;CreatedBy;8;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;RuleObjectType;CreatedDate;9;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;dbo;RuleObjectType;UpdatedBy;10;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;RuleObjectType;UpdatedDate;11;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;TripId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;IsHazmat;2;;NO;bit;;;;;;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;QuickQuoteTLBolId;3;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;ReportId;4;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;SpecialInstructions;5;;YES;nvarchar;500;1000;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBol;CreatedBy;6;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBol;CreatedDate;7;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;OriginStopId;8;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;DestinationStopId;9;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;EmergencyContactPhone;10;;YES;varchar;100;100;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBol;EmergencyContactPhoneExtension;11;;YES;varchar;20;20;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBol;FinancialStatusTypeId;12;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBol;ShipperNotes;13;;YES;nvarchar;100;200;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBol;ConsigneeNotes;14;;YES;nvarchar;100;200;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;truck;TruckActivityReasonType_TruckActivityResultType;ActivityReasonTypeId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;truck;TruckActivityReasonType_TruckActivityResultType;ActivityResultTypeId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;truck;TruckActivityReasonType_TruckActivityResultType;CreatedBy;3;([dbo].[fns_GetContextUserName]());NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;truck;TruckActivityReasonType_TruckActivityResultType;CreatedDate;4;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;tms;ExternalSource;ExternalSourceId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;tms;ExternalSource;Code;2;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;tms;ExternalSource;Name;3;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;tms;ExternalSource;Description;4;;YES;varchar;256;256;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;tms;ExternalSource;IsActive;5;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;tms;ExternalSource;SortOrder;6;((0));NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;tms;ExternalSource;CreatedBy;7;(getdate());NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;tms;ExternalSource;CreatedDate;8;;NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;tms;ExternalSource;UpdatedBy;9;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;tms;ExternalSource;UpdatedDate;10;;YES;datetime2;;;;;;7;;;;;;;;;
XpoMaster;fo;v_RegionState;StateId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_RegionState;Name;2;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_RegionState;StateCode;3;;NO;varchar;3;3;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_RegionState;RegionId;4;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_RegionState;CountryCode;5;;NO;varchar;3;3;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripUnitAssignment;TripUnitAssignmentId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;TripUnitAssignment;PreviousAssignedTripId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;TripUnitAssignment;TruckLicensePlateNumber;3;;YES;varchar;20;20;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripUnitAssignment;TrailerLicensePlateNumber;4;;YES;varchar;20;20;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripUnitAssignment;ReloadReportingCodeCode;5;;YES;varchar;20;20;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripUnitAssignment;ReloadGeoZone;6;;YES;varchar;40;40;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripUnitAssignment;SwappedTripId;7;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;TripUnitAssignment;IsAssigned;8;((0));NO;bit;;;;;;;;;;;;;;;
XpoMaster;orders;TripUnitAssignment;CreatedBy;9;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripUnitAssignment;CreatedOn;10;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;orders;TripUnitAssignment;UpdatedBy;11;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripUnitAssignment;UpdatedOn;12;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;orders;TripUnitAssignment;IsDelinked;13;;YES;bit;;;;;;;;;;;;;;;
XpoMaster;orders;TripUnitAssignment;OwnerReportingCode;14;;YES;varchar;15;15;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;v_MappingMetadata;MappingMetadataId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;v_MappingMetadata;Code;2;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;v_MappingMetadata;SourceTable;3;;NO;varchar;100;100;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;v_MappingMetadata;SourceColumn;4;;NO;varchar;100;100;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;v_MappingMetadata;MappedToTable;5;;NO;varchar;100;100;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;v_MappingMetadata;MappedToColumn;6;;NO;varchar;100;100;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;integration;BanyanClientReferenceNumber;BanyanClientReferenceNumberId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;integration;BanyanClientReferenceNumber;CustomerCode;2;;NO;nvarchar;30;60;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;integration;BanyanClientReferenceNumber;ClientReferenceNumber;3;;NO;nvarchar;30;60;;;;;;;UNICODE;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;QuickQuoteTLBolContactId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;QuickQuoteTLBolId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;Name;3;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;Email;4;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;Fax;5;;YES;char;15;15;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;SendToEmail;6;;NO;bit;;;;;;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;SendToFax;7;;NO;bit;;;;;;;;;;;;;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;CreatedBy;8;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_QuickQuoteTLBolContact;CreatedDate;9;;NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;accounting;StagingDeductionBatchForOracleHistory;StagingDeductionBatchForOracleHistoryId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;StagingDeductionBatchForOracleHistory;DeductionBatchId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;StagingDeductionBatchForOracleHistory;ExportToOracleDocumentId;3;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;accounting;StagingDeductionBatchForOracleHistory;IsExported;4;((0));NO;bit;;;;;;;;;;;;;;;
XpoMaster;accounting;StagingDeductionBatchForOracleHistory;ExceptionMessage;5;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;accounting;StagingDeductionBatchForOracleHistory;PostedDate;6;(getdate());NO;datetime2;;;;;;7;;;;;;;;;
XpoMaster;accounting;StagingDeductionBatchForOracleHistory;CreatedDate;7;(getdate());NO;datetime2;;;;;;7;;;;;;;;;
XpoMaster;orders;OrderEmail;MessageId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;OrderEmail;DocumentId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;OrderEmail;From;3;;NO;varchar;255;255;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;OrderEmail;To;4;;NO;varchar;255;255;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;OrderEmail;CreatedBy;5;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;OrderEmail;CreatedDate;6;;NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;carrier;AutoOfferFrequency;AutoOfferFrequencyId;1;;NO;tinyint;;;3;10;0;;;;;;;;;;
XpoMaster;carrier;AutoOfferFrequency;FrequencyValue;2;;NO;varchar;10;10;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;carrier;AutoOfferFrequency;IsActive;3;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;carrier;AutoOfferFrequency;SortOrder;4;;NO;tinyint;;;3;10;0;;;;;;;;;;
XpoMaster;carrier;AutoOfferFrequency;CreatedBy;5;([dbo].[fns_GetContextUserName]());NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;carrier;AutoOfferFrequency;CreatedDate;6;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;carrier;AutoOfferFrequency;UpdatedBy;7;([dbo].[fns_GetContextUserName]());NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;carrier;AutoOfferFrequency;UpdatedDate;8;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;carrier;Carrier_ReportingCode;CarrierId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;carrier;Carrier_ReportingCode;ReportingCodeId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;carrier;Carrier_ReportingCode;CreatedBy;3;([dbo].[fns_GetContextUserName]());NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;carrier;Carrier_ReportingCode;CreatedDate;4;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;dbo;Accessorial;AccessorialId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;Accessorial;AccessorialCategoryId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;Accessorial;Code;3;;YES;varchar;20;20;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;Name;4;;NO;varchar;255;255;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;Description;5;;YES;varchar;255;255;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;AccessorialChargeTypeId;6;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;dbo;Accessorial;CarrierCharge;7;;YES;money;;;19;10;4;;;;;;;;;;
XpoMaster;dbo;Accessorial;CustomerCharge;8;;YES;money;;;19;10;4;;;;;;;;;;
XpoMaster;dbo;Accessorial;GroupCode;9;;YES;varchar;20;20;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;ChargeUnit;10;;YES;varchar;20;20;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;CreatedBy;11;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;CreatedDate;12;(getdate());YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;dbo;Accessorial;UpdatedBy;13;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;UpdatedDate;14;;YES;datetime2;;;;;;7;;;;;;;;;
XpoMaster;dbo;Accessorial;OriginalId;15;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;dbo;Accessorial;IsActive;16;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;dbo;Accessorial;SortOrder;17;;YES;smallint;;;5;10;0;;;;;;;;;;
XpoMaster;dbo;Accessorial;IsCustomerOnly;18;((0));NO;bit;;;;;;;;;;;;;;;
XpoMaster;dbo;Accessorial;IsTaxable;19;((1));YES;bit;;;;;;;;;;;;;;;
XpoMaster;orders;TripDistancePreference;TripId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;TripDistancePreference;DistanceProvider;2;;NO;varchar;32;32;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripDistancePreference;DistanceProviderVersion;3;;YES;decimal;;;18;10;0;;;;;;;;;;
XpoMaster;orders;TripDistancePreference;DistanceProviderMethod;4;;YES;varchar;32;32;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;TripDistancePreference;GeocodingPreference;5;;YES;varchar;32;32;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_RepFilter;SalespersonId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_RepFilter;UserId;2;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_RepFilter;SalesTeamId;3;;YES;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_RepFilter;FilterId;4;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_RepFilter;FilterTypeId;5;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;fo;v_RepFilter;JsonFilter;6;;YES;varchar;-1;-1;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_RepFilter;Name;7;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;fo;v_RepFilter;Username;8;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;nav;Environments;EnvironmentId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;nav;Environments;ApplicationId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;nav;Environments;Name;3;;NO;varchar;255;255;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;nav;Environments;Url;4;;NO;varchar;1000;1000;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;MatchingQueueStatusTypeId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;ltl;MatchingQueueStatusType;Code;2;;NO;varchar;10;10;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;Name;3;;NO;varchar;255;255;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;Description;4;;YES;varchar;255;255;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;IsActive;5;((1));NO;bit;;;;;;;;;;;;;;;
XpoMaster;ltl;MatchingQueueStatusType;SortOrder;6;;YES;smallint;;;5;10;0;;;;;;;;;;
XpoMaster;ltl;MatchingQueueStatusType;IconClass;7;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;TextClass;8;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;CreatedBy;9;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;CreatedDate;10;(getdate());YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;ltl;MatchingQueueStatusType;UpdatedBy;11;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;ltl;MatchingQueueStatusType;UpdatedDate;12;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;orders;Order_Document;OrderId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;Order_Document;DocumentId;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;Order_Document;CreatedBy;3;([dbo].[fns_GetContextUserName]());NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;Order_Document;CreatedDate;4;(getdate());NO;datetime2;;;;;;2;;;;;;;;;
XpoMaster;orders;Order_Document;UpdatedBy;5;;YES;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;Order_Document;UpdatedDate;6;;YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;orders;DraftBundle;DraftBundleId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;DraftBundle;DraftBundleCount;2;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;orders;DraftBundle;CreatedBy;3;;NO;varchar;50;50;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
XpoMaster;orders;DraftBundle;CreatedDate;4;(getdate());YES;datetime2;;;;;;2;;;;;;;;;
XpoMaster;carrierWeb;LoadPayStatusType;LoadPayStatusTypeId;1;;NO;int;;;10;10;0;;;;;;;;;;
XpoMaster;carrierWeb;LoadPayStatusType;Code;2;;NO;varchar;10;10;;;;;;;iso_1;;;SQL_Latin1_General_CP1_CI_AS;;;
